ID,HSK,FREQ,GENERAL_STANDARD,RADICAL,STROKE_COUNT,CHINESE_CHARACTER,PINYIN,TONE,MEANING
59,1,75,1789,走 156.3,10,起,qǐ,3,"rise, stand up; go up; begin"
60,1,76,1539,目 109.4,9,看,kàn,4,"look, see; examine, scrutinize"
61,1,78,78,大 37.1,4,天,tiān,1,"sky, heaven; god, celestial"
62,1,79,146,刀 18.2,4,分,fēn,1,divide; small unit of time etc.
63,1,80,704,辵 162.4,7,还,hái,2,"still, yet, also, besides"
64,1,81,605,辵 162.4,7,进,jìn,4,"advance, make progress, enter"
65,1,82,581,女 38.3,6,好,hǎo,3,"good, excellent, fine; well"
66,1,83,37,小 42.0,3,小,xiǎo,3,"small, tiny, insignificant"
67,1,86,1069,二 7.5,8,些,xiē,1,"little, few; rather, somewhat"
68,1,88,1849,木 75.6,10,样,yàng,4,"shape, form, pattern, style"
69,1,91,582,女 38.3,6,她,tā,1,"she, her"
70,1,92,210,木 75.1,5,本,běn,3,"root, origin, source; basis"
71,1,93,1650,刀 18.7,9,前,qián,2,"in front, forward; preceding"
72,1,94,76,廾 55.1,4,开,kāi,1,"open; initiate, begin, start"
73,1,98,142,人 9.2,4,从,cóng,2,"from, by, since, whence, through"
74,1,99,2867,心 61.9,13,想,xiǎng,3,"think, speculate, plan, consider"
75,1,101,112,日 72.0,4,日,rì,4,sun; day; daytime
76,1,111,377,木 75.2,6,机,jī,1,desk; machine; moment
77,1,112,4,十 24.0,2,十,shí,2,"ten, tenth; complete; perfect"
78,1,114,2322,竹 118.5,11,第,dì,4,"sequence, number; grade, degree"
79,1,118,26,工 48.0,3,工,gōng,1,"labor, work; worker, laborer"
80,1,121,1087,日 72.4,8,明,míng,2,"bright, light, brilliant; clear"
81,1,123,1122,矢 111.3,8,知,zhī,1,"know, perceive, comprehend"
82,1,125,22,一 1.2,3,三,sān,1,three
83,1,127,532,八 12.4,6,关,guān,1,frontier pass; close; relation
84,1,128,1469,火 86.5,9,点,diǎn,3,"dot, speck, spot; point, degree"
85,1,129,198,止 77.1,5,正,zhèng,4,"right, proper, correct"
86,1,131,293,夕 36.2,5,外,wài,4,"out, outside, external; foreign"
87,1,133,697,一 1.6,7,两,liǎng,3,"two, both, pair, couple; ounce"
88,1,134,2021,高 189.0,10,高,gāo,1,"high, tall; lofty, elevated"
89,1,135,847,門 169.4,7,间,jiān,1,"midpoint, space; place, locality"
90,1,137,528,門 169.3,6,问,wèn,4,"ask about, inquire after"
91,1,138,1584,彳 60.6,9,很,hěn,3,"very, quite, much"
92,1,139,2614,曰 73.8,12,最,zuì,4,"most, extremely, exceedingly"
93,1,140,1552,里 166.2,9,重,zhòng,4,"heavy, weighty; double"
94,1,143,121,手 64.0,4,手,shǒu,3,hand
95,1,148,161,文 67.0,4,文,wén,2,"literature, culture, writing"
96,1,149,770,人 9.5,7,体,tǐ,3,"body; group, class, body, unit; inferior"
97,1,153,118,見 147.0,4,见,jiàn,4,"see, observe, behold; perceive"
98,1,156,129,人 9.2,4,什,shén,2,"file of ten soldiers; mixed, miscellaneous"
99,1,157,3,二 7.0,2,二,èr,4,two; twice
100,1,158,2681,竹 118.6,12,等,děng,3,"class, rank, grade, equal to, same as, to wait for"
101,1,161,2994,斤 69.9,13,新,xīn,1,"new, recent, fresh, modern"
102,1,164,786,身 158.0,7,身,shēn,1,"body; trunk, hull; rad. no. 158"
103,1,165,1079,木 75.4,8,果,guǒ,3,fruit; result
104,1,167,384,襾 146.0,6,西,xī,1,"west(ern); westward, occident"
105,1,169,150,月 74.0,4,月,yuè,4,moon; month; KangXi radical 74
106,1,170,1296,言 149.6,8,话,huà,4,"speech, talk, language; dialect"
107,1,172,438,囗 31.3,6,回,huí,2,"return, turn around; a time"
108,1,179,360,老 125.0,6,老,lǎo,3,"old, aged; experienced"
109,1,180,1758,糸 120.6,9,给,gěi,3,"give; by, for"
110,1,183,521,欠 76.2,6,次,cì,4,"order, sequence; next"
111,1,185,55,門 169.0,3,门,mén,2,"gate, door, entrance, opening"
112,1,187,2257,巾 50.8,11,常,cháng,2,"common, normal, frequent, regular"
113,1,188,446,儿 10.4,6,先,xiān,1,"first, former, previous"
114,1,191,2179,攴 66.7,11,教,jiào,4,"teach, class"
115,1,192,12,儿 10.0,2,儿,ér,2,"son, child; KangXi radical 10"
116,1,194,225,一 1.4,5,东,dōng,1,"east, eastern, eastward"
117,1,199,105,比 81.0,4,比,bǐ,3,"to compare, liken; comparison; than"
118,1,202,117,水 85.0,4,水,shuǐ,3,"water, liquid, lotion, juice"
119,1,203,505,口 30.3,6,名,míng,2,"name, rank, title, position"
120,1,204,1832,目 109.5,10,真,zhēn,1,"real, actual, true, genuine"
121,1,207,625,走 156.0,7,走,zǒu,3,"walk, go on foot; run; leave"
122,1,211,14,几 16.0,2,几,jǐ,3,small table
123,1,212,38,口 30.0,3,口,kǒu,3,"mouth; open end; entrance, gate"
124,1,213,171,言 149.2,4,认,rèn,4,"recognize, know, understand"
125,1,214,816,木 75.3,7,条,tiáo,2,"clause, condition; string, stripe"
126,1,216,825,糸 120.1,7,系,xì,4,"system; line, link, connection"
127,1,217,122,气 84.0,4,气,qì,4,"steam, vapor; KangXi radical 84"
128,1,222,751,刀 18.5,7,别,bié,2,"separate, other; do not"
129,1,223,196,手 64.2,5,打,dǎ,3,"strike, hit, beat; fight; attack"
130,1,224,67,女 38.0,3,女,nǚ,3,"woman, girl; feminine; rad. 38"
131,1,226,262,囗 31.2,5,四,sì,4,four
132,1,230,242,曰 73.1,5,电,diàn,4,electricity; electric; lightning
133,1,233,110,小 42.1,4,少,shǎo,3,"few, less, inadequate"
134,1,240,93,大 37.1,4,太,tài,4,"very, too, much; big; extreme"
135,1,242,382,冂 13.4,6,再,zài,4,"again, twice, re-"
136,1,246,2324,人 9.9,11,做,zuò,4,"work, make; act"
137,1,249,367,土 32.3,6,场,chǎng,3,"open space, field, market"
138,1,253,2542,月 74.8,12,期,qī,1,period of time; date; time limit
139,1,259,39,山 46.0,3,山,shān,1,"mountain, hill, peak"
140,1,276,72,馬 187.0,3,马,mǎ,3,horse; surname; KangXi radical 187
141,1,279,88,二 7.2,4,五,wǔ,3,five; surname
142,1,282,188,丨 2.3,4,书,shū,1,"book, letter, document; writings"
143,1,283,1064,非 175.0,8,非,fēi,1,"not, negative, non-; oppose"
144,1,285,739,口 30.4,7,听,tīng,1,"hear; understand; obey, comply"
145,1,286,275,白 106.0,5,白,bái,2,"white; pure, unblemished; bright"
146,1,291,1223,攴 66.4,8,放,fàng,4,"put, release, free, liberate"
147,1,295,2147,又 29.8,10,难,nán,2,"difficult, arduous, hard; unable"
148,1,305,2918,足 157.6,13,路,lù,4,"road, path, street; journey"
149,1,306,323,言 149.3,5,记,jì,4,"record; keep in mind, remember"
150,1,307,1422,十 24.7,9,南,nán,2,south; southern part; southward
151,1,309,783,人 9.5,7,住,zhù,4,"reside, live at, dwell, lodge; stop"
152,1,310,760,口 30.4,7,告,gào,4,"tell, announce, inform; accuse"
153,1,315,227,匕 21.3,5,北,běi,3,north; northern; northward
154,1,316,337,辵 162.2,5,边,biān,1,"edge, margin, side, border"
155,1,327,1694,見 147.5,9,觉,jué,2,to wake up from sleep; conscious
156,1,333,413,巾 50.3,6,师,shī,1,"teacher, master, specialist"
157,1,336,144,人 9.2,4,今,jīn,1,"now, today, modern era"
158,1,338,1734,阜 170.7,9,院,yuàn,4,"courtyard, yard, court; school"
159,1,340,892,言 149.5,7,识,shí,2,"recognize, understand, know"
160,1,341,1964,人 9.8,10,候,hòu,4,wait; expect; visit; greet
161,1,346,1952,竹 118.4,10,笑,xiào,4,"smile, laugh, giggle; snicker"
162,1,347,69,乙 5.2,3,飞,fēi,1,fly; go quickly; dart; high
163,1,348,154,風 182.0,4,风,fēng,1,"wind; air; manners, atmosphere"
164,1,353,23,干 51.0,3,干,gàn,4,"oppose, offend; invade; dried"
165,1,361,100,車 159.0,4,车,chē,1,"cart, vehicle; carry in cart"
166,1,365,1190,月 74.4,8,服,fú,2,"clothes; wear, dress"
167,1,366,876,心 61.4,7,快,kuài,4,"rapid, quick, speedy, fast; soon"
168,1,370,80,儿 10.2,4,元,yuán,2,first; dollar; origin; head
169,1,379,2024,冫 15.8,10,准,zhǔn,3,"approve, allow, permit; in accord"
170,1,382,1543,心 61.5,9,怎,zěn,3,what? why? how?
171,1,383,1102,口 30.5,8,呢,ne,0,interrogative or emphatic final; (Cant.) this
172,1,386,608,辵 162.4,7,远,yuǎn,3,"distant, remote, far; profound"
173,1,387,253,口 30.2,5,叫,jiào,4,"cry, shout; hail, greet, call"
174,1,390,3240,彡 59.12,15,影,yǐng,3,"shadow; image, reflection; photograph"
175,1,393,548,子 39.3,6,字,zì,4,"letter, character, word"
176,1,394,1987,爪 87.6,10,爱,ài,4,"love, be fond of, like"
177,1,397,1200,夂 34.5,8,备,bèi,4,"prepare, ready, perfect"
178,1,402,2391,口 30.8,11,商,shāng,1,"commerce, business, trade"
179,1,407,389,白 106.1,6,百,bǎi,3,"one hundred; numerous, many"
180,1,410,665,艸 140.4,7,花,huā,1,flower; blossoms
181,1,421,2108,言 149.8,10,请,qǐng,3,"ask, request; invite; please"
182,1,427,2027,疒 104.5,10,病,bìng,4,"illness, sickness, disease"
183,1,428,1973,心 61.6,10,息,xī,1,"rest, put stop to, end, cease"
184,1,433,164,火 86.0,4,火,huǒ,3,"fire, flame; burn; anger, rage"
185,1,438,1294,見 147.4,8,视,shì,4,"look at, inspect, observe, see"
186,1,445,15,乙 5.1,2,九,jiǔ,3,nine
187,1,448,316,冖 14.3,5,写,xiě,3,"write; draw, sketch; compose"
188,1,451,9,八 12.0,2,八,bā,1,"eight; all around, all sides"
189,1,453,432,口 30.3,6,吗,ma,0,final interrogative particle
190,1,454,298,勹 20.3,5,包,bāo,1,"wrap, pack, bundle; package"
191,1,462,419,日 72.2,6,早,zǎo,3,early; soon; morning
192,1,466,621,手 64.4,7,找,zhǎo,3,"search, seek, look for; find"
193,1,470,747,口 30.4,7,吧,ba,0,emphatic final particle
194,1,475,429,口 30.3,6,吃,chī,1,"eat; drink; suffer, endure, bear"
195,1,476,1119,囗 31.5,8,图,tú,2,"diagram; chart, map, picture"
196,1,478,160,八 12.2,4,六,liù,4,number six
197,1,482,700,匸 23.5,7,医,yī,1,"cure, heal; doctor, medical"
198,1,487,243,口 30.2,5,号,hào,4,"mark, sign; symbol; number"
199,1,493,1707,言 149.7,9,语,yǔ,3,"language, words; saying, expression"
200,1,495,358,老 125.0,6,考,kǎo,3,"examine, test; investigate"
201,1,512,1290,戶 63.4,8,房,fáng,2,"house, building; room"
202,1,513,307,十 24.3,5,半,bàn,4,half
203,1,530,7,一 1.1,2,七,qī,1,seven
204,1,531,544,八 12.4,6,兴,xìng,4,"thrive, prosper, flourish"
205,1,533,1730,子 39.6,9,孩,hái,2,"baby, child; children"
206,1,537,1488,日 72.5,9,星,xīng,1,"a star, planet; any point of light"
207,1,541,2920,足 157.6,13,跟,gēn,1,"heel; to follow, accompany; with"
208,1,544,2041,立 117.5,10,站,zhàn,4,"stand up; a stand, station"
209,1,559,2687,竹 118.6,12,答,dá,2,"answer, reply; return; assent to"
210,1,566,1205,亠 8.6,8,京,jīng,1,capital city
211,1,575,533,米 119.0,6,米,mǐ,3,hulled or husked uncooked rice
212,1,583,1703,宀 40.6,9,客,kè,4,"guest, traveller; customer"
213,1,594,97,又 29.2,4,友,yǒu,3,"friend, companion; fraternity"
214,1,595,894,言 149.5,7,诉,sù,4,accuse; sue; inform; narrate
215,1,602,733,田 102.2,7,男,nán,2,"male, man; son; baron; surname"
216,1,603,1928,金 167.5,10,钱,qián,2,"money, currency, coins"
217,1,605,442,网 122.0,6,网,wǎng,3,net; network; KangXi radical 122
218,1,606,1809,火 86.6,10,热,rè,4,hot; heat; fever; restless; zeal
219,1,611,797,土 32.4,7,坐,zuò,4,"sit; seat; ride, travel by"
220,1,623,123,毛 82.0,4,毛,máo,2,"hair, fur, feathers; coarse"
221,1,628,2155,玉 96.7,11,球,qiú,2,"ball, sphere, globe; round"
222,1,633,1847,木 75.6,10,校,xiào,4,school; military field officer
223,1,636,2337,人 9.9,11,假,jiǎ,3,"falsehood, deception; vacation"
224,1,638,2936,金 167.8,13,错,cuò,4,"error, blunder, mistake; wrong"
225,1,641,2270,日 72.7,11,晚,wǎn,3,"night, evening; late"
226,1,643,1286,言 149.6,8,试,shì,4,"test, try, experiment"
227,1,645,1983,手 64.6,10,拿,ná,2,"take, hold, grasp; bring; with"
228,1,646,2001,肉 130.6,10,脑,nǎo,3,brain
229,1,648,2122,言 149.8,10,谁,shuí,2,who? whom? whose? anyone?
230,1,652,1515,口 30.7,9,哪,nǎ,3,which? where? how?
231,1,656,1645,辵 162.6,9,送,sòng,4,"see off, send off; dispatch, give"
232,1,668,2523,口 30.9,12,喜,xǐ,3,"like, love, enjoy; joyful thing"
233,1,676,70,冫 15.1,3,习,xí,2,practice; flapping wings
234,1,685,587,欠 76.2,6,欢,huān,1,"happy, pleased, glad; joy; enjoy"
235,1,697,1439,木 75.5,9,树,shù,4,"tree; plant; set up, establish"
236,1,700,838,冫 15.5,7,冷,lěng,3,"cold, cool; lonely"
237,1,711,311,水 85.2,5,汉,hàn,4,Chinese people; Chinese language
238,1,725,520,衣 145.0,6,衣,yī,1,"clothes, clothing; cover, skin"
239,1,726,2331,心 61.7,11,您,nín,2,"you (courteous, as opposed to informal 你)"
240,1,732,1640,工 48.7,9,差,chà,4,"to differ; different, wrong; nearly, almost; an officer"
241,1,750,583,女 38.3,6,妈,mā,1,"mother, mama"
242,1,752,2112,言 149.8,10,读,dú,2,"read, study; pronounce"
243,1,758,588,大 37.3,6,买,mǎi,3,"buy, purchase; bribe, persuade"
244,1,769,1356,巾 50.7,9,帮,bāng,1,"help, assist; defend; shoe upper"
245,1,772,436,山 46.3,6,岁,suì,4,year; age; harvest
246,1,782,214,工 48.2,5,左,zuǒ,3,"left; east; unorthodox, improper"
247,1,783,217,口 30.2,5,右,yòu,4,right; west; right-wing
248,1,785,1701,穴 116.4,9,穿,chuān,1,"penetrate, pierce, drill; wear"
249,1,793,652,土 32.4,7,块,kuài,4,"piece, lump; dollar"
250,1,804,1852,口 30.7,10,哥,gē,1,elder brother
251,1,816,854,弓 57.4,7,弟,dì,4,"young brother; junior; i, me"
252,1,822,3169,心 61.11,14,慢,màn,4,"slow(ly), leisurely, sluggish"
253,1,827,543,心 61.3,6,忙,máng,2,"busy, pressed for time; hustling"
254,1,830,1326,女 38.5,8,姐,jiě,3,"elder sister, young lady"
255,1,831,140,人 9.2,4,介,jiè,4,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor"
256,1,832,616,土 32.4,7,坏,huài,4,"rotten, spoilt, bad, broken down"
257,1,864,2631,足 157.5,12,跑,pǎo,3,"run, flee, leave in hurry"
258,1,873,1495,貝 154.5,9,贵,guì,4,"expensive, costly, valuable"
259,1,876,2870,木 75.9,13,楼,lóu,2,building of two or more stories
260,1,882,1185,月 74.4,8,朋,péng,2,"friend, pal, acquaintance"
261,1,884,1774,玉 96.6,10,班,bān,1,"class, group, grade; squad; job"
262,1,897,2795,言 149.10,12,谢,xiè,4,thank; decline
263,1,910,2235,示 113.6,11,票,piào,4,slip of paper or bamboo; ticket
264,1,928,1041,雨 173.0,8,雨,yǔ,3,rain; rainy; KangXi radical 173
265,1,935,823,食 184.4,7,饭,fàn,4,"cooked rice; food, meal"
266,1,964,2900,目 109.8,13,睡,shuì,4,"sleep, doze"
267,1,981,2045,方 70.6,10,旁,páng,2,"side; by side, close by, near"
268,1,983,2639,口 30.9,12,喝,hē,1,"drink; shout, call out"
269,1,1004,119,十 24.2,4,午,wǔ,3,noon; 7th terrestrial branch
270,1,1007,492,父 88.2,6,爷,yé,2,"father, grandfather"
271,1,1009,443,肉 130.0,6,肉,ròu,4,flesh; meat; KangXi radical 130
272,1,1011,2373,食 184.8,11,馆,guǎn,3,public building
273,1,1018,120,牛 93.0,4,牛,niú,2,"cow, ox, bull; KangXi radical93"
274,1,1040,3084,欠 76.10,14,歌,gē,1,"song, lyrics; sing, chant; praise"
275,1,1041,1208,广 53.5,8,店,diàn,4,"shop, store; inn, hotel"
276,1,1050,1171,父 88.4,8,爸,bà,4,"father, papa"
277,1,1056,844,心 61.3,7,忘,wàng,4,"forget; neglect; miss, omit"
278,1,1068,831,广 53.4,7,床,chuáng,2,"bed, couch; framework, chassis"
279,1,1072,944,玉 96.4,8,玩,wán,2,"play with, joke, enjoy"
280,1,1082,458,人 9.4,6,休,xiū,1,"rest, stop; retire; do not!"
281,1,1128,393,頁 181.0,6,页,yè,4,"page, sheet, leaf; rad. no. 181"
282,1,1185,1324,女 38.5,8,妹,mèi,4,younger sister
283,1,1193,1881,木 75.6,10,桌,zhuō,1,"table, desk, stand"
284,1,1200,861,水 85.4,7,汽,qì,4,"steam, vapor, gas"
285,1,1208,2120,言 149.8,10,课,kè,4,lesson; course; classwork
286,1,1234,1348,糸 120.5,8,绍,shào,4,"continue, carry on; join"
287,1,1247,1671,水 85.6,9,洗,xǐ,3,"wash, rinse; clean, purify"
288,1,1252,2284,口 30.8,11,唱,chàng,4,"sing, chant, call; ditty, song"
289,1,1266,2207,艸 140.8,11,菜,cài,4,"vegetables; dish, order; food"
290,1,1272,1411,艸 140.6,9,茶,chá,2,tea
291,1,1278,332,女 38.2,5,奶,nǎi,3,breast; milk; to breastfeed; mother
292,1,1323,2282,糸 120.5,11,累,lèi,4,"tired; implicate, involve; bother"
293,1,1342,2885,雨 173.5,13,零,líng,2,"zero; fragment, fraction"
294,1,1377,1221,冫 15.6,8,净,jìng,4,"clean, pure; cleanse"
295,1,1387,2477,虫 142.5,11,蛋,dàn,4,eggs; term of abuse
296,1,1391,928,鳥 196.2,7,鸡,jī,1,chicken
297,1,1396,1020,木 75.4,8,杯,bēi,1,"cup, glass"
298,1,1475,1489,日 72.5,9,昨,zuó,2,"yesterday; in former times, past"
299,1,1911,2012,食 184.7,10,饿,è,4,hungry; greedy for; hunger
300,1,1972,2758,水 85.9,12,渴,kě,3,"thirsty, parched; yearn, pine"
301,2,18,165,丶 3.3,4,为,wèi,4,"do, handle, govern, act; be"
302,2,23,182,人 9.3,4,以,yǐ,3,"by means of; thereby, therefore; consider as; in order to"
303,2,30,212,口 30.2,5,可,kě,3,"may, can, -able; possibly"
304,2,36,392,而 126.0,6,而,ér,2,and; and then; and yet; but
305,2,40,24,二 7.1,3,于,yú,2,"in, on, at; go to; surname"
306,2,43,477,自 132.0,6,自,zì,4,"self, private, personal; from"
307,2,47,339,又 29.3,5,发,fā,1,"issue, dispatch, send out; hair"
308,2,54,1164,戶 63.4,8,所,suǒ,3,"place, location; numerary adjunct"
309,2,55,2723,火 86.8,12,然,rán,2,"yes, certainly; pledge, promise"
310,2,59,401,戈 62.3,6,成,chéng,2,"completed, finished, fixed"
311,2,62,1350,糸 120.5,8,经,jīng,1,classic works; pass through
312,2,65,1241,水 85.5,8,法,fǎ,3,"law, rule, regulation, statute; France, French"
313,2,67,578,女 38.3,6,如,rú,2,"if, supposing; as if; like, as"
314,2,71,418,小 42.3,6,当,dāng,1,"bear, accept, undertake; just"
315,2,77,1276,宀 40.5,8,定,dìng,4,"decide, settle, fix"
316,2,84,2044,邑 163.8,10,部,bù,4,"part, division, section"
317,2,85,996,八 12.6,8,其,qí,2,"his, her, its, their; that"
318,2,87,300,丶 3.4,5,主,zhǔ,3,"master, chief owner; host; lord"
319,2,89,2157,玉 96.7,11,理,lǐ,3,"reason, logic; manage"
320,2,90,174,心 61.0,4,心,xīn,1,"heart; mind, intelligence; soul"
321,2,95,774,人 9.5,7,但,dàn,4,"only; but, however, yet, still"
322,2,96,430,囗 31.3,6,因,yīn,1,"cause, reason; by; because (of)"
323,2,97,246,口 30.2,5,只,zhǐ,3,"only, just, simply"
324,2,100,1285,宀 40.5,8,实,shí,2,"real, true; honest, sincere"
325,2,103,969,老 125.4,8,者,zhě,3,that which; he who; those who
326,2,104,2996,心 61.9,13,意,yì,4,"thought, idea, opinion; think"
327,2,106,19,力 19.0,2,力,lì,4,"power, capability, influence"
328,2,107,314,宀 40.2,5,它,tā,1,it; other
329,2,109,127,長 168.0,4,长,zhǎng,3,long; length; excel in; leader
330,2,115,148,八 12.2,4,公,gōng,1,"fair, equitable; public; duke"
331,2,117,61,己 49.0,3,已,yǐ,3,already; finished; stop
332,2,119,1139,人 9.6,8,使,shǐ,3,"cause, send on a mission, order; envoy, messenger, ambassador"
333,2,120,2438,心 61.8,11,情,qíng,2,"feeling, sentiment, emotion"
334,2,124,485,入 11.4,6,全,quán,2,"maintain, keep whole or intact"
335,2,126,21,又 29.0,2,又,yòu,4,"and, also, again, in addition"
336,2,130,231,一 1.4,5,业,yè,4,"profession, business; GB radical 111"
337,2,136,245,田 102.0,5,由,yóu,2,"cause, reason; from"
338,2,142,1127,牛 93.4,8,物,wù,4,"thing, substance, creature"
339,2,144,836,广 53.4,7,应,yīng,1,"should, ought to, must"
340,2,146,480,口 30.3,6,向,xiàng,4,"toward, direction, trend"
341,2,147,310,大 37.2,5,头,tóu,2,"head; top; chief, first; boss"
342,2,152,1430,目 109.4,9,相,xiāng,1,"mutual, reciprocal, each other"
343,2,155,763,刀 18.5,7,利,lì,4,"gains, advantage, profit, merit"
344,2,160,1035,戈 62.4,8,或,huò,4,"or, either, else; perhaps, maybe"
345,2,162,60,己 49.0,3,己,jǐ,3,"self, oneself; personal, private; 6th heavenly stem"
346,2,166,335,力 19.3,5,加,jiā,1,"add to, increase, augment"
347,2,171,488,口 30.3,6,合,hé,2,"combine, unite, join; gather"
348,2,173,1938,牛 93.6,10,特,tè,4,"special, unique, distinguished"
349,2,176,1570,人 9.7,9,信,xìn,4,"trust, believe; letter"
350,2,177,951,衣 145.3,8,表,biǎo,3,"show, express, manifest, display"
351,2,182,784,人 9.5,7,位,wèi,4,"throne; position, post; rank, status; seat"
352,2,184,1622,广 53.6,9,度,dù,4,"degree, system; manner; to consider"
353,2,189,2074,水 85.7,10,海,hǎi,3,"sea, ocean; maritime"
354,2,190,2145,辵 162.7,10,通,tōng,1,"pass through, common, communicate"
355,2,193,1868,厂 27.8,10,原,yuán,2,"source, origin, beginning"
356,2,195,654,士 33.4,7,声,shēng,1,"sound, voice, noise; tone; music"
357,2,196,2520,手 64.9,12,提,tí,2,hold in hand; lift in hand
358,2,205,556,言 149.4,6,论,lùn,4,debate; discuss; discourse
359,2,206,294,夂 34.2,5,处,chù,4,"place, locale; department"
360,2,210,11,入 11.0,2,入,rù,4,"enter, come in(to), join"
361,2,215,222,干 51.2,5,平,píng,2,"flat, level, even; peaceful"
362,2,218,3233,頁 181.9,15,题,tí,2,"forehead; title, headline; theme"
363,2,219,1672,水 85.6,9,活,huó,2,"live, exist, survive; lively"
364,2,221,693,曰 73.3,7,更,gèng,4,"more, still further, much more"
365,2,225,1204,又 29.6,8,变,biàn,4,"change, transform, alter; rebel"
366,2,231,2999,攴 66.9,13,数,shù,4,"number; several, count; fate"
367,2,232,549,宀 40.3,6,安,ān,1,"peaceful, tranquil, quiet"
